Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
40,1.0,0.0,0.0,758.0,20.0,31.0,1610.0,0.1,13.405999999999993,0.0,0.0,293.6366927623749,,,,,,,,,,,,,,,,,,,,,3.8203014823948025,4.487662595940475,13.314185711282617,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,117.0,1.0,117.0,1727.0,0.1,62.90900000000002,0.0,0.0,426.5488061904907,,,,,,,,,,,,,,,,,,,,,21.116749114123344,19.515404332323364,60.55939859143188,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,379.0,2.0,262.0,1989.0,0.1,140.50499999999977,0.0,0.0,451.62067770957947,,,,,,,,,,,,,,,,,,,,,61.79937451437922,35.443594647543115,124.56256444355539,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,461.0,3.0,82.0,2071.0,0.1,57.605,0.0,0.0,459.2918803691864,,,,,,,,,,,,,,,,,,,,,22.57253709983887,17.634547787024342,55.865727547180036,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,522.0,4.0,61.0,2132.0,0.1,26.409000000000045,0.0,0.0,465.34540700912476,,,,,,,,,,,,,,,,,,,,,6.910689001344645,8.29243211219187,26.03950093328361,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,622.0,5.0,100.0,2232.0,0.1,81.106,0.0,0.0,475.1881558895111,,,,,,,,,,,,,,,,,,,,,33.700316988594736,25.1893675801079,77.89167375698075,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,652.0,6.0,30.0,2262.0,0.1,10.807999999999993,0.0,0.0,478.3229568004608,,,,,,,,,,,,,,,,,,,,,2.80365627857942,3.535554695666618,10.745370306886086,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,677.0,7.0,25.0,2287.0,0.1,11.005999999999995,0.0,0.0,480.9662971496582,,,,,,,,,,,,,,,,,,,,,3.291147307331501,3.7952330685570597,10.945601574864869,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,717.0,8.0,40.0,2327.0,0.1,24.006000000000014,0.0,0.0,484.915296792984,,,,,,,,,,,,,,,,,,,,,8.922376120947643,8.04127113129223,23.696474207102096,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,796.0,9.0,79.0,2406.0,0.1,43.31,0.0,0.0,492.51199197769165,,,,,,,,,,,,,,,,,,,,,15.108975738460288,13.118312841843478,42.20075021634412,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
